review,rating,date,bank,source,sentiment_result,sentiment_label,sentiment_score,clean_review,themes
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9992928504943848}",POSITIVE,0.9992928504943848,great app like carry bank pocket,Other
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9971959590911865}",POSITIVE,0.9971959590911865,garrantty bank ebc,Other
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9988697171211243}",POSITIVE,0.9988697171211243,happy app siple use,Other
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9996840953826904}",NEGATIVE,0.9996840953826904,like app user interface basic attractive,UI/UX
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9964652061462402}",NEGATIVE,0.9964652061462402,not atms support accounttoaccount transfer like country kenya nigeria south africa,Customer Support
what is this app problem???,1,2025-06-05,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9996225833892822}",NEGATIVE,0.9996225833892822,app problem,Other
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998679161071777}",POSITIVE,0.9998679161071777,app proactive good connection,Other
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9953354001045227}",NEGATIVE,0.9953354001045227,send cbebirr app app,Other
good,4,2025-06-05,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
not functional,1,2025-06-05,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.999778687953949}",NEGATIVE,0.999778687953949,functional,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9905162453651428}",NEGATIVE,0.9905162453651428,everytime uninstall app reach physically oldy s security layer d check fraud attempt app source directlysource app store play store etc implicitly physical presence app install traditionaltraditionally rare,Other
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9616847634315491}",NEGATIVE,0.9616847634315491,mr space,Other
best,5,2025-06-04,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997941851615906}",POSITIVE,0.9997941851615906,well,Other
bezabih,5,2025-06-04,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9654072523117065}",POSITIVE,0.9654072523117065,bezabih,Other
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997294545173645}",POSITIVE,0.9997294545173645,good mobile banking app,Other
good,5,2025-06-04,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9981192946434021}",NEGATIVE,0.9981192946434021,good app issue like not right bank issue transfer,Other
Good,5,2025-06-04,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
👌👍,5,2025-06-04,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.6970566511154175}",NEGATIVE,0.6970566511154175,,Other
very niec,5,2025-06-04,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.5192599296569824}",POSITIVE,0.5192599296569824,niec,Other
best app of finance,5,2025-06-04,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9996503591537476}",POSITIVE,0.9996503591537476,good app finance,Other
yetemeta,1,2025-06-03,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.6553667783737183}",POSITIVE,0.6553667783737183,yetemeta,Other
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.8396738767623901}",NEGATIVE,0.8396738767623901,engida kebede fetera,Other
good,5,2025-06-03,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
it is not safety,1,2025-06-03,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9997867941856384}",NEGATIVE,0.9997867941856384,safety,Other
NICE bank,5,2025-06-03,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998055100440979}",POSITIVE,0.9998055100440979,nice bank,Other
