review,rating,date,bank,source,sentiment
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,positive
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,neutral
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,positive
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,negative
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,positive
what is this app problem???,1,2025-06-05,CBE,Google Play,negative
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,positive
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,neutral
good,4,2025-06-05,CBE,Google Play,positive
not functional,1,2025-06-05,CBE,Google Play,neutral
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,positive
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,neutral
best,5,2025-06-04,CBE,Google Play,positive
bezabih,5,2025-06-04,CBE,Google Play,neutral
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,positive
good,5,2025-06-04,CBE,Google Play,positive
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,positive
Good,5,2025-06-04,CBE,Google Play,positive
👌👍,5,2025-06-04,CBE,Google Play,neutral
very niec,5,2025-06-04,CBE,Google Play,neutral
best app of finance,5,2025-06-04,CBE,Google Play,positive
yetemeta,1,2025-06-03,CBE,Google Play,neutral
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,neutral
good,5,2025-06-03,CBE,Google Play,positive
it is not safety,1,2025-06-03,CBE,Google Play,negative
NICE bank,5,2025-06-03,CBE,Google Play,positive
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,negative
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,positive
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,positive
best app,5,2025-06-01,CBE,Google Play,positive
Awesome bank,5,2025-06-01,CBE,Google Play,positive
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,positive
Masha alla,5,2025-05-31,CBE,Google Play,neutral
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,negative
better service,5,2025-05-31,CBE,Google Play,positive
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,positive
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,neutral
lower system everything,3,2025-05-30,CBE,Google Play,negative
Nice!,5,2025-05-30,CBE,Google Play,positive
Keep it up My CBE,5,2025-05-29,CBE,Google Play,neutral
yes good,5,2025-05-28,CBE,Google Play,positive
